ID305B,WATER_NAME,LOCATION,source,coord,county
VAN-A01R_DUT01A06,Dutchman Creek,Segment begins at the confluence with an unnamed tributary to Dutchman Creek (streamcode XCO) and continues downstream until the confluence with the Potomac River.,rvr,"c(-77.6523727463478, 39.3010558119803)",Loudoun
VAN-A01R_DUT02A06,Dutchman Creek,"Segment begins at the confluence with an unnamed tributary to Dutchman Creek, at rivermile 2.9, and continues downstream until the confluence with another unnamed tributary (XCO).",rvr,"c(-77.6612810929353, 39.2879230929183)",Loudoun
VAN-A01R_PIA01A00,Piney Run,Segment begins at the mouth of an unnamed pond on Piney Run and continues downstream until the confluence with the Potomac River.,rvr,"c(-77.7199211887695, 39.3081521433121)",Loudoun
VAN-A01R_PIA02A06,Piney Run,"Segment begins at the headwaters of Piney Run and continues downstream until the beginning of an unnamed pond on Piney Run, around rivermile 4.07.",rvr,"c(-77.7332295271008, 39.2632831932076)",Loudoun
VAN-A01R_QUR01A20,Quarter Branch,Segment begins at the perennial headwaters of Quarter Branch and continues downstream to the confluence with the Potomac River.,rvr,"c(-77.6098485386413, 39.2923935122101)",Loudoun
VAN-A01R_XCO01A06,Unnamed tributary to Dutchman Creek,Segment begins at the headwaters of an unnamed tributary to Dutchman Creek and continues downstream until the confluence with Dutchman Creek.,rvr,"c(-77.6484661911232, 39.2749858670234)",Loudoun
VAN-A01R_XDI01A08,Unnamed tributary to unnamed tributary to Dutchman Creek,Segment begins at the headwaters of an unnamed tributary and continues downstream until the confluence with an unnamed tributary (XCO) to Dutchman Creek.,rvr,"c(-77.6429221531836, 39.2786303785172)",Loudoun
VAN-A01R_XKT01A04,Unnamed tributary to Piney Run,Segment begins at the headwaters of an unnamed tributary to Piney Run (streamcode XKT) and continues downstream until the confluence with Piney Run.,rvr,"c(-77.7522929906458, 39.2698276015434)",Loudoun
VAN-A01R_ZZZ01A00,Potomac River/Piney Run/Dutchman Creek,"Potomac/Shenandoah.
Unassessed segment of watershed A01R (PL01).",rvr,"c(-77.6688762271255, 39.2822544743598)",Loudoun
VAN-A02R_CAX01A00,Catoctin Creek,"Segment begins at the confluence with Milltown Creek, approximately 1.3 rivermiles downstream of Route 673, and continues downstream until the confluence with the Potomac River.",rvr,"c(-77.5746908467563, 39.2599064837989)",Loudoun
VAN-A02R_CAX02A08,Catoctin Creek,"Segment begins at the confluence of the North and South Fork Catoctin Creek and continues downstream until the confluence with Milltown Creek, approximately 1.3 rivermiles downstream of Route 673.",rvr,"c(-77.6027060050069, 39.2242749019412)",Loudoun
VAN-A02R_MIH01A06,Milltown Creek,"Segment begins at the confluence with an unnamed tributary to Milltown Creek, approximately 1.1 rivermile upstream from Route 681 near Milltown, and continues downstream until the confluence with Catoctin Creek.",rvr,"c(-77.6162473201095, 39.2384588058424)",Loudoun
VAN-A02R_MIH01B02,Milltown Creek,"Segment begins at the confluence with an unnamed tributary, approximately 0.1 rivermile downstream from Route 850, and continues downstream until the confluence with another unnamed tributary, approximately 1.1 rivermile upstream from Route 681.",rvr,"c(-77.6582862636655, 39.2440075559673)",Loudoun
VAN-A02R_NOC01A00,North Fork Catoctin Creek,"Segment begins at the confluence with an unnamed tributary to North Fork Catoctin Creek, approximately 0.15 rivermile downstream from the Route 287 bridge, and continues downstream until the confluence with Catoctin Creek.",rvr,"c(-77.6425132721296, 39.1968421751168)",Loudoun
VAN-A02R_NOC02A02,North Fork Catoctin Creek,"Segment begins at the outlet from an unnamed impoundment, approximately 0.4 rivermile upstream from the Route 611 bridge, and continues downstream until the confluence with an unnamed tributary 0.15 rivermile downstream from the Route 287 bridge.",rvr,"c(-77.6866955621569, 39.1849902031154)",Loudoun
VAN-A02R_NOC03A02,North Fork Catoctin Creek,"Segment begins at the confluence of an unnamed tributary to North Fork Catoctin Creek, approximately 0.75 rivermile upstream from Route 719 near Hillsboro, and continues downstream 2.45 rivermiles to an unnamed impoundment.",rvr,"c(-77.7225731166555, 39.1960659892625)",Loudoun
VAN-A02R_SOC01A00,South Fork Catoctin Creek,"Segment begins at the confluence with an unnamed tributary to South Fork Catoctin Creek, approximately 0.7 rivermile upstream from Route 9, and continues downstream until the confluence with Catoctin Creek.",rvr,"c(-77.628073908577, 39.1832279683594)",Loudoun
VAN-A02R_SOC02A02,South Fork Catoctin Creek,"Segment begins at confluence with an unnamed tributary, 0.75 rivermile upstream from the Route 287 bridge, and continues downstream until the confluence with another unnamed tributary, approximately 0.7 rivermile upstream from the Route 9 bridge.",rvr,"c(-77.6755270183428, 39.1681317697904)",Loudoun
VAN-A02R_SOC03A04,South Fork Catoctin Creek,"Segment begins at the northwest corner of the town of Purcellville, 0.48 rivermiles upstream from the Route 690 bridge, and continues downstream until the confluence with an unnamed tributary to SOC, 0.75 rivermile upstream from the Route 287 bridge.",rvr,"c(-77.7071876507536, 39.1507461234286)",Loudoun
VAN-A02R_SOC04A04,South Fork Catoctin Creek,"Segment begins at the headwaters of South Fork Catoctin Creek and continues downstream until the Purcellville town limits, 0.48 rivermiles upstream from the Route 690 bridge.",rvr,"c(-77.7616307889269, 39.1638477538159)",Loudoun
VAN-A02R_XJT01A06,Unnamed tributary to Catoctin Creek,"Segment begins at the confluence with an unnamed tributary, approximately 1.2 miles upstream from the Route 693 crossing, and continues downstream until the confluence with Catoctin Creek, at rivermile 9.81.",rvr,"c(-77.6286261067327, 39.2191224300581)",Loudoun
VAN-A02R_XKR01A08,Unnamed tributary to Catoctin Creek,"Segment begins at the headwaters of an unnamed tributary to Catoctin Creek and continues downstream until the confluence with Catoctin Creek, at rivermile 5.11.",rvr,"c(-77.5886123368383, 39.2625281146253)",Loudoun
VAN-A02R_XLH01A08,Unnamed tributary to South Fork Catoctin Creek,"Segment begins at the headwaters of an unnamed tributary to the South Fork Catoctin Creek and continues downstream until the confluence with the South Fork Catoctin Creek, approximately 0.92 rivermile upstream from the Route 761 crossing.",rvr,"c(-77.7866015990129, 39.1800524279293)",Loudoun
VAN-A02R_ZZZ02A00,South Fork Catoctin Creek,"Potomac/Shenandoah
Unassessed segment of watershed A02R (PL02).",rvr,"c(-77.6913179484745, 39.1805927316973)",Loudoun
VAN-A02R_ZZZ03A00,Catoctin Creek,"Potomac/Shenandoah
Unassessed segment of watershed A02R (PL03).",rvr,"c(-77.629930335772, 39.2373345709494)",Loudoun
VAN-A03R_BSC01A06,Big Spring Creek,Segment begins at the headwaters of Big Spring Creek and continues downstream until the confluence with the Potomac River.,rvr,"c(-77.5556268569835, 39.136146999667)",Loudoun
VAN-A03R_CLK01A08,Clarks Run,"Segment begins at the confluence with an unnamed tributary to Clarks Run, at rivermile 5.4, and continues downstream until the confluence with the Potomac River.",rvr,"c(-77.5169715316796, 39.2383358359856)",Loudoun
VAN-A03R_LIM01A00,Limestone Branch,"Segment begins at the edge of the 8b PWS supply designation, approximately 0.05 rivermile upstream from the Route 15 bridge, and continues downstream until the confluence with the Potomac River.",rvr,"c(-77.5283561438182, 39.1670179318247)",Loudoun
VAN-A03R_LIM01B06,Limestone Branch,"Segment begins at the headwaters of Limestone Branch and continues downstream until the edge of the 8b PWS supply designation, approximately 0.05 rivermile upstream from the Route 15 bridge.",rvr,"c(-77.5623582941525, 39.1643046439286)",Loudoun
VAN-A03R_XAQ01A04,Unnamed tributary to Limestone Branch,"Segment begins at the boundary of the 8b PWS area designation, just upstream of the Route 661 bridge, and continues downstream until the confluence with Limestone Branch.",rvr,"c(-77.5252816983062, 39.1701356870257)",Loudoun
VAN-A03R_XAQ01B06,Unnamed tributary to Limestone Branch,"Segment begins at the confluence with an unnamed tributary and continues downstream until the boundary of the 8b PWS area designation, just upstream of the Route 661 bridge.",rvr,"c(-77.5315715026233, 39.1822424057518)",Loudoun
