county_string,Category,species,date,waterbody1,waterbody2,specialtype,county
Grayson County,A,Rainbow Trout,2022-05-31T00:00:00Z,Elk Creek,NA,NA,Grayson
Bath County,+,Rainbow TroutBrown Trout,2022-05-31T00:00:00Z,Douthat Lake & Wilson Creek,NA,FFA,Bath
Bath County,CR,Brown Trout,2022-05-31T00:00:00Z,Spring Run,NA,NA,Bath
Carroll County,+,Rainbow TroutBrown TroutBrook Trout,2022-05-30T00:00:00Z,Crooked Creek,NA,"c(""FFA"", ""Heritage Day Water"")",Carroll
Washington County,+,Rainbow Trout,2022-05-30T00:00:00Z,Clinch Mountain,NA,FFA,Washington
Washington County,+,Rainbow Trout,2022-05-28T00:00:00Z,Clinch Mountain,NA,FFA,Washington
Smyth County,A,Rainbow Trout,2022-05-28T00:00:00Z,Middle Fork Holston River,Marion,Heritage Day Water,Smyth
Smyth County,A,Rainbow Trout,2022-05-28T00:00:00Z,Middle Fork Holston River,Chilhowie,Heritage Day Water,Smyth
Carroll County,+,Rainbow TroutBrown TroutBrook Trout,2022-05-28T00:00:00Z,Crooked Creek,NA,"c(""FFA"", ""Heritage Day Water"")",Carroll
Washington County,+,Rainbow Trout,2022-05-27T00:00:00Z,Clinch Mountain,NA,FFA,Washington
Carroll County,+,Rainbow TroutBrown TroutBrook Trout,2022-05-27T00:00:00Z,Crooked Creek,NA,"c(""FFA"", ""Heritage Day Water"")",Carroll
Grayson County,A,Rainbow Trout,2022-05-27T00:00:00Z,Hales Lake,NA,National Forest Water,Grayson
Smyth County,A,Rainbow Trout,2022-05-27T00:00:00Z,South Fork Holston River,Buller Dam,National Forest Water,Smyth
Bath County,+,Rainbow TroutBrown Trout,2022-05-27T00:00:00Z,Douthat Lake & Wilson Creek,NA,FFA,Bath
Bath County,A,Rainbow TroutBrown TroutBrook TroutTiger Trout,2022-05-27T00:00:00Z,Cowpasture River,NA,National Forest Water,Bath
Bath County,A,Rainbow TroutBrown TroutBrook TroutTiger Trout,2022-05-27T00:00:00Z,Bullpasture River,NA,NA,Bath
Highland County,A,Rainbow TroutBrown TroutBrook TroutTiger Trout,2022-05-27T00:00:00Z,Bullpasture River,NA,NA,Highland
Shenandoah County,A,Rainbow TroutBrown Trout,2022-05-26T00:00:00Z,Passage Creek,NA,"c(""Heritage Day Water"", ""National Forest Water"")",Shenandoah
Bath County,A,Rainbow TroutBrown Trout,2022-05-26T00:00:00Z,Jackson River,Hidden Valley,National Forest Water,Bath
Wythe County,A,Rainbow Trout,2022-05-25T00:00:00Z,Cripple Creek,Rt. 94,NA,Wythe
Carroll County,+,Rainbow TroutBrown TroutBrook Trout,2022-05-25T00:00:00Z,Crooked Creek,NA,"c(""FFA"", ""Heritage Day Water"")",Carroll
Smyth County,A,Rainbow Trout,2022-05-25T00:00:00Z,Staley Creek,NA,NA,Smyth
Washington County,+,Rainbow Trout,2022-05-25T00:00:00Z,Clinch Mountain,NA,FFA,Washington
Amherst County,A,Rainbow TroutBrown Trout,2022-05-25T00:00:00Z,Pedlar River,Lower,National Forest Water,Amherst
Augusta County,A,Rainbow Trout,2022-05-25T00:00:00Z,Elkhorn Lake,NA,National Forest Water,Augusta
Bath County,A,Rainbow TroutBrown Trout,2022-05-25T00:00:00Z,Jackson River,Rt. 623,National Forest Water,Bath
Bath County,A,Rainbow TroutBrown Trout,2022-05-24T00:00:00Z,Back Creek,NA,National Forest Water,Bath
Augusta County,A,Brook Trout,2022-05-24T00:00:00Z,Hearthstone Lake,NA,National Forest Water,Augusta
Frederick County,A,Rainbow TroutBrown Trout,2022-05-24T00:00:00Z,Clearbrook Lake,NA,NA,Frederick
Frederick County,A,Rainbow TroutBrown Trout,2022-05-24T00:00:00Z,Winchester Lake,Wilkins Lake,NA,Frederick
Washington County,A,Rainbow TroutBrown Trout,2022-05-24T00:00:00Z,Whitetop Laurel,Lower,National Forest Water,Washington
Washington County,A,Rainbow TroutBrown Trout,2022-05-24T00:00:00Z,Whitetop Laurel,Upper,National Forest Water,Washington
Washington County,A,Rainbow TroutBrown Trout,2022-05-24T00:00:00Z,Tennessee Laurel,NA,NA,Washington
Madison County,A,Rainbow TroutBrook Trout,2022-05-23T00:00:00Z,Hughes River,NA,NA,Madison
Bath County,+,Rainbow TroutBrown Trout,2022-05-23T00:00:00Z,Douthat Lake & Wilson Creek,NA,FFA,Bath
Fauquier County,A,Rainbow TroutBrown Trout,2022-05-23T00:00:00Z,Thompson WMA Pond,NA,NA,Fauquier
Wythe County,A,Rainbow Trout,2022-05-23T00:00:00Z,Rural Retreat Lake Pond,NA,NA,Wythe
Carroll County,+,Rainbow TroutBrook Trout,2022-05-23T00:00:00Z,Crooked Creek,NA,"c(""FFA"", ""Heritage Day Water"")",Carroll
Washington County,+,Rainbow Trout,2022-05-23T00:00:00Z,Clinch Mountain,NA,FFA,Washington
Giles County,A,Rainbow Trout,2022-05-21T00:00:00Z,Big Stoney Creek,NA,National Forest Water,Giles
Bland County,A,Rainbow Trout,2022-05-21T00:00:00Z,Wolf Creek,NA,NA,Bland
Carroll County,+,Rainbow Trout,2022-05-21T00:00:00Z,Crooked Creek,NA,"c(""FFA"", ""Heritage Day Water"")",Carroll
Washington County,+,Rainbow Trout,2022-05-21T00:00:00Z,Clinch Mountain,NA,FFA,Washington
Roanoke County,A,Rainbow TroutBrook Trout,2022-05-20T00:00:00Z,Tinker Creek,NA,Heritage Day Water,Roanoke
Roanoke County,A,Rainbow TroutBrook Trout,2022-05-20T00:00:00Z,Glade Creek,NA,NA,Roanoke
Albemarle County,A,Rainbow TroutBrown Trout,2022-05-20T00:00:00Z,Mint Springs Lake,Middle,NA,Albemarle
Albemarle County,A,Rainbow TroutBrown Trout,2022-05-20T00:00:00Z,Mint Springs Lake,Upper,NA,Albemarle
Floyd County,A,Rainbow Trout,2022-05-20T00:00:00Z,Burkes Fork,NA,NA,Floyd
Carroll County,A,Rainbow Trout,2022-05-20T00:00:00Z,Crooked Creek,NA,NA,Carroll
Carroll County,A,Rainbow Trout,2022-05-20T00:00:00Z,Little Reed Island Creek,NA,NA,Carroll
Carroll County,+,Rainbow Trout,2022-05-20T00:00:00Z,Crooked Creek,NA,"c(""FFA"", ""Heritage Day Water"")",Carroll
Lee County,A,Rainbow Trout,2022-05-20T00:00:00Z,North Fork Powell River,NA,NA,Lee
Lee County,A,Rainbow Trout,2022-05-20T00:00:00Z,Martins Creek,NA,NA,Lee
Washington County,+,Rainbow Trout,2022-05-20T00:00:00Z,Clinch Mountain,NA,FFA,Washington
Bath County,+,Rainbow TroutBrown Trout,2022-05-20T00:00:00Z,Douthat Lake & Wilson Creek,NA,FFA,Bath
Augusta County,A,Rainbow TroutBrown Trout,2022-05-20T00:00:00Z,Braley Pond,NA,National Forest Water,Augusta
Rockbridge County,A,Rainbow TroutBrown Trout,2022-05-20T00:00:00Z,Maury River,NA,NA,Rockbridge
Rockbridge County,A,Rainbow TroutBrown Trout,2022-05-20T00:00:00Z,Mill Creek,NA,National Forest Water,Rockbridge
Botetourt County,A,Rainbow TroutBrown TroutBrook Trout,2022-05-19T00:00:00Z,Jennings Creek,NA,"c(""Heritage Day Water"", ""National Forest Water"")",Botetourt
Buchanan County,A,Rainbow TroutBrown Trout,2022-05-19T00:00:00Z,Dismal River,NA,NA,Buchanan
Washington County,A,Rainbow Trout,2022-05-19T00:00:00Z,Beartree Lake,NA,"c(""Heritage Day Water"", ""National Forest Water"")",Washington
Rockingham County,A,Rainbow TroutBrown Trout,2022-05-19T00:00:00Z,South River,Grottoes,NA,Rockingham
Augusta County,A,Rainbow TroutBrown Trout,2022-05-19T00:00:00Z,South River,Ridgeview Park,NA,Augusta
Alleghany County,A,Rainbow TroutBrown Trout,2022-05-19T00:00:00Z,Clifton Forge Reservoir,NA,National Forest Water,Alleghany
Roanoke County,A,Rainbow Trout,2022-05-18T00:00:00Z,Roanoke River,City,NA,Roanoke
Madison County,A,Rainbow TroutBrook Trout,2022-05-18T00:00:00Z,Robinson River,NA,Heritage Day Water,Madison
Carroll County,+,Rainbow TroutBrown TroutBrook Trout,2022-05-18T00:00:00Z,Crooked Creek,NA,"c(""FFA"", ""Heritage Day Water"")",Carroll
Patrick County,A,Rainbow Trout,2022-05-18T00:00:00Z,Dan River,Below Powerhouse,NA,Patrick
Shenandoah County,A,Rainbow TroutBrown Trout,2022-05-18T00:00:00Z,Stony Creek,NA,NA,Shenandoah
Rockingham County,A,Rainbow Trout,2022-05-18T00:00:00Z,Hone Quarry Lake,NA,National Forest Water,Rockingham
Rockingham County,A,Rainbow Trout,2022-05-18T00:00:00Z,Briery Branch Lake,NA,National Forest Water,Rockingham
Russell County,A,Rainbow Trout,2022-05-18T00:00:00Z,Big Cedar Creek,NA,NA,Russell
Washington County,+,Rainbow Trout,2022-05-18T00:00:00Z,Clinch Mountain,NA,FFA,Washington
Albemarle County,A,Rainbow Trout,2022-05-17T00:00:00Z,Scottsville Lake,Was Named: Mink Creek Reservoir,NA,Albemarle
Wythe County,A,Rainbow Trout,2022-05-17T00:00:00Z,Cripple Creek,Ravens,Heritage Day Water,Wythe
Augusta County,A,Rainbow TroutBrown Trout,2022-05-17T00:00:00Z,Lower Sherando Lake,NA,National Forest Water,Augusta
Smyth County,A,Rainbow TroutBrown Trout,2022-05-17T00:00:00Z,South Fork Holston River,Lower,NA,Smyth
